,radius_lower,radius_upper,period_lower,period_upper,occurrence,+sigma,-sigma
131,0.0,0.5,128.0,256.0,0.455,0.455,-0.455
132,0.0,0.5,64.0,128.0,0.4650000000000001,0.4650000000000001,-0.4650000000000001
133,0.0,0.5,32.0,64.0,0.205,0.205,-0.205
134,0.0,0.5,16.0,32.0,0.0699999999999999,0.0699999999999999,-0.0699999999999999
135,0.0,0.5,8.0,16.0,0.066,0.059,-0.033
136,0.0,0.5,4.0,8.0,0.092,0.022,-0.0289999999999999
137,0.0,0.5,2.0,4.0,0.0265,0.0086,-0.0077
138,0.0,0.5,1.0,2.0,0.0026,0.0014,-0.0017
139,0.0,0.5,0.5,1.0,0.0025,0.0026,-0.0017
140,16.0,1000000000.0,256.0,500.0,0.01,0.01,-0.01
141,16.0,1000000000.0,128.0,256.0,0.00395,0.00395,-0.00395
142,16.0,1000000000.0,64.0,128.0,0.0049,0.0043,-0.0033
143,16.0,1000000000.0,32.0,64.0,0.0057,0.0028,-0.0019
144,16.0,1000000000.0,16.0,32.0,0.00258,0.00067,-0.00123
145,16.0,1000000000.0,8.0,16.0,0.00102,0.0007199999999999,-0.00066
146,16.0,1000000000.0,4.0,8.0,0.00165,0.00105,-0.00059
147,16.0,1000000000.0,2.0,4.0,0.00162,0.00087,-0.00054
148,16.0,1000000000.0,1.0,2.0,0.00041,0.00069,-0.00012
149,16.0,1000000000.0,0.5,1.0,9.5e-05,9.5e-05,-9.5e-05
150,16.0,1000000000.0,0.0,0.5,9.5e-05,9.5e-05,-9.5e-05
151,0.0,0.5,0.0,0.5,0.0025,0.0026,-0.0017
152,12.0,16.0,0.0,0.5,9.5e-05,9.5e-05,-9.5e-05
153,8.0,12.0,0.0,0.5,0.00015,0.00015,-0.00015
154,6.0,8.0,0.0,0.5,0.00012,0.00012,-0.00012
155,4.0,6.0,0.0,0.5,0.00029,0.00014,-0.0002
156,3.0,4.0,0.0,0.5,0.000325,0.000325,-0.000325
157,2.5,3.0,0.0,0.5,0.00029,0.00029,-0.00029
158,2.0,2.5,0.0,0.5,0.000265,0.000265,-0.000265
159,1.75,2.0,0.0,0.5,0.00027,0.00026,-0.00019
160,1.5,1.75,0.0,0.5,0.00083,0.0006,-0.00053
161,1.25,1.5,0.0,0.5,0.00157,0.00074,-0.00069
162,1.0,1.25,0.0,0.5,0.0017,0.0012,-0.0011
163,0.75,1.0,0.0,0.5,0.0027,0.0008,-0.00092
164,0.5,0.75,0.0,0.5,0.0025,0.0026,-0.0017
